code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
1821,ESR,主板,10-22(周二),10-25(周五),11-01(周五),16.2-17.4,3480,100.00%,16.8,30-32,不建议,282.00%,中国物流资产,3.22,105,3.10%,5.36%,1.43%,德银/中信里昂
302,中手游,主板,10-21(周一),10-24(周四),10-31(周四),2.19-2.83,5660,15.00%,2.83,14-18,不建议,30.00%,游莱互动,543.83,13,4.59%,2.12%,42.76%,中金公司/法巴
1847,云南建投混凝土,主板,10-21(周一),10-24(周四),10-31(周四),2.76-3.51,3510,70.00%,3.36,6-7.8,不建议,50.00%,华润水泥,18.46,4.4,-16.67%,-20.83%,-27.98%,中金公司
6855,亚盛医药-B,主板,10-16(周三),10-21(周一),10-28(周一),32.2-34.2,3420,9.00%,34.2,-,尚可申购,30.00%,君实生物-B,751.99,4.16,52.34%,9.94%,7.60%,美银美林/花旗
1692,登辉控股,主板,10-15(周二),10-18(周五),10-25(周五),1.3-1.5,3000,10.00%,1.3,13.7-15.8,尚可申购,-,全达电器,274.49,1.3,-19.23%,-33.85%,-43.85%,同人融资
1871,向中国际,主板,10-11(周五),10-16(周三),10-24(周四),1.28-1.42,5680,1.60%,1.28,21-23.6,尚可申购,-,东方时尚,380.15,1.28,13.28%,-32.03%,-53.91%,信达国际
2606,蓝光嘉宝服务,主板,10-08(周二),10-11(周五),10-18(周五),30.6-39,3900,100.00%,37,16.3-20.7,不建议,37.00%,佳兆业物业,52.89,15,17.84%,15.00%,20.14%,华泰金融/农银国际
1959,世纪联合,主板,09-30(周一),10-11(周五),10-18(周五),1.01-1.23,2460,40.00%,1.08,13.3-16,不建议,-,中升集团,22.16,1.35,7.41%,-28.70%,-47.22%,富强金融
8441,国际永胜集团,创业板,09-30(周一),10-09(周三),10-22(周二),0.32-0.39,3900,30.00%,0.32,10月12日,建议申购,-,中智全球,41.56,0.64,62.50%,0.00%,65.62%,南华金融
1084,绿新亲水胶体,主板,09-30(周一),10-09(周三),10-17(周四),1.16-1.74,3480,100.00%,1.16,10-14.9,不建议,-,豪特保健,1.59,2.32,42.24%,16.38%,11.21%,安信国际
1843,快餐帝国,主板,09-30(周一),10-08(周二),10-23(周三),0.65-0.75,3000,19.49%,0.65,40-46,不建议,-,叙福楼,13.68,1.3,84.62%,-6.15%,-27.69%,力高企业
1846,德视佳,主板,09-30(周一),10-08(周二),10-15(周二),6.2-8.8,8800,30.00%,7.5,53-76,建议申购,45.00%,希玛眼科,42.72,5.5,71.73%,46.67%,32.13%,中银国际
1967,信懇智能,主板,09-30(周一),10-04(周五),10-18(周五),2-2.5,5000,15.01%,2,11-13.8,不建议,-,恒达科技,12.88,1.25,57.00%,70.00%,95.50%,德健融资
1853,春城热力,主板,09-27(周五),10-17(周四),10-24(周四),1.9-2.5,6250,20.00%,2.35,8-10.2,不建议,37.00%,北京控股,98.25,2.6,-2.98%,-6.38%,-12.77%,中银国际
1283,高陞集团,主板,09-27(周五),10-08(周二),10-18(周五),0.625-0.75,3750,10.00%,0.73,8.8-10.6,尚可申购,-,顺兴集团,81.62,1.45,31.51%,1.37%,-32.88%,Amcap
1582,华营建筑,主板,09-27(周五),10-03(周四),10-16(周三),1-1.4,3500,20.00%,1,7月10日,尚可申购,-,耀高控股,9.87,1.38,128.00%,15.00%,-22.00%,第一上海
1955,庄臣控股,主板,09-27(周五),10-03(周四),10-16(周三),1-1.2,2400,50.00%,1,23-27,尚可申购,-,立高控股,50.03,1.25,48.00%,23.00%,-15.00%,西证国际
8418,傲迪玛汽车,创业板,09-27(周五),10-03(周四),10-11(周五),0.2-0.26,2600,40.00%,0.24,-,不建议,-,中升集团,28.18,0.6,6.25%,93.75%,658.33%,东方证券
3601,鲁大师,主板,09-26(周四),10-02(周三),10-10(周四),2.3-3,3000,20.00%,2.7,7.4-9.7,建议申购,-,豆盟科技,277.36,1.5,38.89%,218.52%,98.15%,国信证券
6110,滔博,主板,09-26(周四),10-02(周三),10-10(周四),8.3-10.1,10100,100.00%,8.5,22-26,不建议,150.00%,宝胜国际,2.39,78,-0.71%,8.82%,11.06%,美银美林/摩根士坦利
1895,鑫苑服务,主板,09-25(周三),09-30(周一),10-11(周五),2.08-3,3000,20.01%,2.08,12.3-17.7,建议申购,-,佳兆业物业,6.01,2.6,12.98%,41.83%,5.77%,东方证券
6820,FRIENDTIMES,主板,09-24(周二),09-27(周五),10-08(周二),1.52-1.96,3920,50.00%,1.52,9-11.5,不建议,150.00%,指尖悦动,7.95,5.016,0.66%,0.00%,-46.05%,国泰君安
1876,百威亚太,主板,09-18(周三),09-23(周一),09-30(周一),27-30,3000,100.00%,27,100-111,不建议,300.00%,青岛啤酒,3.64,367,1.30%,4.44%,8.89%,摩根大通/摩根士坦利
3938,LFG投资控股,主板,09-17(周二),09-20(周五),09-30(周一),1.3-1.7,3400,25.06%,1.68,10.6-13.87,不建议,-,耀才证券,28.42,1.2,-1.79%,-36.31%,-47.02%,力高企业
1960,TBKS HLDGS,主板,09-16(周一),09-19(周四),09-30(周一),0.5-0.6,3000,10.01%,0.5,14.5-17.45,尚可申购,-,震升工程,9.6,1.25,46.00%,60.00%,-54.60%,红日资本
8668,瀛海集团,创业板,09-13(周五),09-18(周三),09-26(周四),0.2-0.24,2400,30.00%,0.24,10.9-13,尚可申购,-,海天地悅旅,54.9,0.72,-10.00%,0.42%,-31.67%,力高企业
2696,复宏汉霖-B,主板,09-12(周四),09-17(周二),09-25(周三),49.6-57.8,5780,100.00%,49.6,-,建议申购,150.00%,君实生物-B,3.89,32.1,-2.22%,-0.30%,-8.06%,中金/美林/招银/复星/花旗
3928,S&T HLDGS,主板,08-29(周四),09-03(周二),09-19(周四),1.05-1.15,2300,35.01%,1.07,13.15-14.41,尚可申购,-,耀高控股,7.21,1.27,14.95%,14.02%,-1.87%,均富融资
1920,恒新丰控股,主板,08-06(周二),08-09(周五),08-16(周五),0.2,2000,80.00%,0.2,12.9,不建议,-,恒益控股,15.14,1.3,15.00%,-16.00%,-3.50%,均富融资
382,中汇集团,主板,07-04(周四),07-09(周二),07-16(周二),2.48-3.22,6440,100.00%,2.85,13.4-17.4,不建议,150.00%,中教控股,2.42,7,0.00%,0.70%,55.44%,法巴
1073,大禹金融,主板,06-28(周五),07-19(周五),07-26(周五),0.52,2600,100.00%,0.52,16.25,不建议,-,瑞威资本,3.87,1.25,-,-62.02%,1.92%,英皇融资
2558,晋商银行,主板,06-28(周五),07-11(周四),07-18(周四),3.8-3.98,3980,100.00%,3.82,14.6-15.3,不建议,849.00%,青岛银行,0.18,32.7,3.40%,0.00%,-47.91%,建银国际/中金/招银国际
1912,康特隆,主板,06-28(周五),07-09(周二),07-16(周二),0.63-0.68,3400,25.00%,0.65,25-27,不建议,-,天长集团,39.9,1.29,27.69%,6.15%,106.15%,同人融资
1949,PLATT NERA,主板,06-28(周五),07-09(周二),07-16(周二),1.25-1.55,3100,14.01%,1.25,17-21,不建议,-,连成科技,13.67,1.25,30.40%,24.00%,-56.80%,浩德融资
1134,恒发光学,主板,06-28(周五),07-08(周一),07-16(周二),1-1.2,4800,15.00%,1,16-19,不建议,-,金力集团,29.68,1.25,27.00%,6.00%,-15.00%,信达国际
6805,金茂源环保,主板,06-28(周五),07-05(周五),07-16(周二),1.08-1.44,2880,90.00%,1.33,22-29,不建议,-,达力环保,1.96,3.5,-0.75%,-2.26%,-37.59%,申万宏源
1931,华检医疗,主板,06-28(周五),07-05(周五),07-12(周五),3.07-3.68,3680,50.00%,3.07,36-43,不建议,-,盈健医疗,2.21,10.2,-3.58%,0.00%,3.26%,中银国际
1977,安乐工程,主板,06-28(周五),07-04(周四),07-12(周五),1.2,2400,100.00%,1.2,5.3,不建议,-,顺兴集团,7.59,4.2,-15.00%,35.83%,-12.50%,交银国际
2772,中梁控股,主板,06-27(周四),07-08(周一),07-16(周二),5.2-6.68,3340,100.00%,5.55,8.4-10.8,不建议,150.00%,建业地产,1.01,28,-2.88%,7.21%,9.91%,建银国际
6093,和泓服务,主板,06-27(周四),07-03(周三),07-12(周五),1.28-1.56,3120,20.01%,1.28,15.8-19.2,尚可申购,-,佳兆业物业,5.31,1.28,61.72%,34.37%,7.03%,西证国际
8612,维亮控股,创业板,06-27(周四),07-03(周三),07-12(周五),0.4-0.55,5500,35.01%,0.55,30-42,不建议,-,兴铭,28.19,0.825,18.18%,41.82%,3.64%,中毅资本
1839,中集车辆,主板,06-27(周四),07-03(周三),07-11(周四),6.38-8.08,4040,100.00%,6.38,8-10.2,不建议,108.00%,英恒科技,2.74,16.9,-4.39%,-3.76%,-17.40%,海通国际
2180,万宝盛华,主板,06-27(周四),07-03(周三),07-10(周三),9.9-12.6,3150,85.01%,9.9,13.8-17.5,不建议,150.00%,桥英控股,4.67,4.95,10.10%,-1.01%,-7.47%,华泰金控
924,坤集团,主板,06-20(周四),06-25(周二),07-05(周五),0.5,4800,6.83%,0.5,25-30,尚可申购,-,顺兴集团,13.36,1.25,110.00%,132.00%,20.00%,新华汇富
3798,家乡互动,主板,06-18(周二),06-21(周五),07-04(周四),1.35-1.85,3700,60.00%,1.35,7.3-10,建议申购,62.00%,昆仑万维,2.77,4.2,33.33%,26.67%,60.00%,光大新鸿基
1286,鹰普精密,主板,06-18(周二),06-21(周五),06-28(周五),2.8-3.3,3300,100.00%,3,12.5-14.8,不建议,150.00%,苍南仪表,2.72,10,8.67%,0.33%,11.33%,摩根士坦利/中银国际
1701,途屹控股,主板,06-18(周二),06-21(周五),06-28(周五),0.52-0.68,2720,60.01%,0.52,20-26,不建议,-,纵横游,6.2,1.3,-5.77%,-41.35%,-10.58%,创升融资
1901,飞扬集团,主板,06-18(周二),06-21(周五),06-28(周五),1-1.1,2200,50.01%,1.05,18-20,不建议,50.00%,纵横游,19.14,1.3,-0.95%,-6.67%,-8.57%,智富融资
1943,银涛控股,主板,06-18(周二),06-21(周五),06-28(周五),0.5-0.54,2700,100.00%,0.5,13.5-14.6,不建议,-,耀高控股,3.23,1.25,-24.00%,-7.00%,-8.00%,Grande Capital
1930,勋龙,主板,06-17(周一),06-20(周四),06-28(周五),0.8-0.88,3520,40.04%,0.88,12月13日,不建议,-,天瑞汽车,6.01,1.45,29.55%,34.09%,69.32%,BALLAS
1849,创世纪集团,主板,06-13(周四),06-19(周三),06-26(周三),0.65-0.7,3500,25.00%,0.65,22-24,不建议,-,兑吧集团,9.03,1.3,-3.08%,-24.62%,-56.15%,浩德融资
1842,植华集团,主板,06-13(周四),06-18(周二),06-28(周五),0.5,2000,35.00%,0.5,12.5,不建议,-,威诚国际,8.29,1.25,18.00%,14.00%,-15.00%,德健融资
1951,锦欣生殖,主板,06-13(周四),06-18(周二),06-25(周二),7.76-8.54,17080,65.00%,8.54,64-71,不建议,37.00%,康宁医院,99.26,30,17.33%,8.67%,75.64%,摩根士坦利/中信里昂
1769,思考乐教育,主板,06-12(周三),06-17(周一),06-21(周五),3.64-4.68,4680,100.00%,3.68,24-31,尚可申购,37.00%,枫叶教育,1.57,4.5,7.61%,0.27%,175.00%,中信里昂
1935,嘉宏教育,主板,06-04(周二),06-11(周二),06-18(周二),1.5-1.92,3840,100.00%,1.5,13.5-17.3,不建议,12.00%,新高教集团,0.46,6,-1.33%,10.00%,10.00%,麦格理
6117,日照港裕廊,主板,05-31(周五),06-05(周三),06-19(周三),1.37-1.51,3020,100.00%,1.5,12.9-14,不建议,629.00%,青岛港,0.24,6,4.00%,166.67%,-30.00%,中信建投
3692,翰森制药,主板,05-31(周五),06-05(周三),06-14(周五),13.06-14.26,28520,60.01%,14.26,34-37.5,不建议,214.00%,药明康德,11.77,78,15.71%,36.75%,71.46%,摩根士坦利
2189,嘉涛香港控股,主板,05-30(周四),06-04(周二),06-13(周四),0.6-0.64,2560,20.00%,0.6,15.3-16.4,建议申购,-,松龄护老,80.37,1.5,-11.67%,-6.67%,-6.67%,鼎珮
6811,太兴集团,主板,05-30(周四),06-04(周二),06-13(周四),2.8-3.8,3800,80.00%,3,9.2-12.4,建议申购,20.00%,小南国,15.51,8,-7.00%,-12.00%,-41.67%,交银国际
667,中国东方教育,主板,05-30(周四),06-04(周二),06-12(周三),9.8-12.26,6130,100.00%,11.25,36.84-46,不建议,-,新华教育,0.08,48,-1.33%,-11.82%,-,法巴
3877,中国船舶租赁,主板,05-28(周二),06-04(周二),06-17(周一),1.34-1.42,2840,100.00%,1.34,11.6-12.34,不建议,135.00%,润利海事,0.11,20.5,11.94%,-7.46%,-,中金公司
6055,中烟香港,主板,05-28(周二),05-31(周五),06-12(周三),3.88-4.88,4880,60.00%,4.88,10-12.57,建议申购,30.00%,菲利普莫里斯,102.04,8.1,2.05%,9.63%,-,中金公司/招商证券国际
1905,海通恒信,主板,05-21(周二),05-24(周五),06-03(周一),1.88-2.08,4160,100.00%,1.88,10.4-11.5,不建议,-,富银融资租赁,0.06,23,4.79%,0.00%,-,海通国际/中金/花旗/招银国际
2181,迈博药业-B,主板,05-20(周一),05-24(周五),05-31(周五),1.5-1.95,3900,100.00%,1.5,-,建议申购,150.00%,康诺希生物-B,1.46,11.7,-3.33%,-19.33%,-,中金公司
1521,方达控股,主板,05-17(周五),05-22(周三),05-30(周四),2.55-3.2,6400,50.00%,3.2,37.5-47,尚可申购,-,维亚生物,91.7,16,15.94%,4.69%,-,美银美林/高盛
2060,浦江国际,主板,05-17(周五),05-22(周三),05-28(周二),2.56-3.55,3550,100.00%,2.68,15-21.5,不建议,327.00%,海东青新材料,0.46,6.3,1.12%,1.12%,-,海通国际
3868,信义能源,主板,05-15(周三),05-20(周一),05-28(周二),1.89-2.35,4700,100.00%,1.94,17-21,不建议,150.00%,顺风光电,1.07,36,2.06%,0.00%,-,法巴
1817,慕尚集团,主板,05-15(周三),05-20(周一),05-27(周一),4.68-5.88,2940,100.00%,4.39,8-10.13,不建议,73.00%,杉杉品牌,0.48,8,-3.19%,2.51%,-,瑞信/花旗/招银国际
2230,羚邦集团,主板,04-30(周二),05-10(周五),05-21(周二),0.45-0.53,2650,60.00%,0.45,9.5-11.3,尚可申购,-,雅仕维传媒,15.77,2.24,-8.89%,-31.11%,-,国泰君安
1832,海天地悅旅,主板,04-30(周二),05-07(周二),05-16(周四),3.54-4.48,4480,100.00%,3.54,14.16-17.9,不建议,-,复星文旅,1.17,3.19,-5.08%,-2.26%,-,交银国际
2346,星宇控股,主板,04-30(周二),05-06(周一),05-16(周四),1-1.22,2440,50.00%,1,8.3-10.2,不建议,-,高鹏矿业,11.38,1.25,6.00%,11.00%,-,西证国际
1903,JBB BUILDERS,主板,04-25(周四),04-30(周二),05-10(周五),1.18-1.38,2760,100.00%,1.18,13.5-15.8,不建议,-,奥邦建筑,1.2,1.47,-24.58%,4.24%,-,同人融资
1873,维亚生物,主板,04-25(周四),04-30(周二),05-09(周四),3.42-4.41,2205,100.00%,4.41,36-46,建议申购,-,药明生物,106.92,15.2,3.17%,0.23%,-,中金
1857,光大水务,主板,04-24(周三),04-29(周一),05-08(周三),2.99-4.35,4350,100.00%,2.99,12.3-17.9,不建议,150.00%,北控水务,2.43,3.1,0.67%,-11.37%,-,中金/光大新鸿基
1753,兌吧,主板,04-24(周三),04-29(周一),05-07(周二),6-8.1,3240,100.00%,6,27-36,不建议,150.00%,豆盟科技,7.69,6.66,2.50%,0.17%,-,招银国际/汇丰
8635,连成科技,创业板,04-15(周一),04-18(周四),05-02(周四),0.53-0.67,2680,15.00%,0.53,16-20,不建议,-,捷利交易宝,101.3,0.53,77.36%,37.74%,-,东兴证券
1780,B&D STRATEGIC,主板,04-15(周一),04-18(周四),04-30(周二),0.84-1.06,2650,30.00%,0.84,10.5-13.25,建议申购,-,奥邦建筑,11.25,1.3,-7.14%,5.95%,-,均富融资
1906,博尼国际,主板,04-12(周五),04-17(周三),04-26(周五),0.46-0.6,3000,50.00%,0.58,17.7-23,尚可申购,-,卡宾服饰,95.94,1.7,1.72%,0.00%,-,创升融资
6806,申万宏源,主板,04-12(周五),04-17(周三),04-26(周五),3.63-3.93,3144,100.00%,3.63,25-27,不建议,250.00%,中信证券,3.78,90,10.19%,-11.85%,-38.57%,申万宏源/高盛/工银国际/农银国际
1545,设计都会,主板,04-11(周四),04-16(周二),04-25(周四),0.3-0.39,3900,50.00%,0.3,13.6-17.7,尚可申购,-,国际家居零售,55.9,1.5,13.33%,-10.00%,-,西证国际
2660,禅游科技,主板,04-03(周三),04-09(周二),04-16(周二),1.12-1.32,2640,50.00%,1.23,8.8-10.4,尚可申购,50.00%,指尖悦动,47.48,2.1,31.71%,30.89%,-,国泰君安
3321,伟鸿集团,主板,03-29(周五),04-08(周一),04-23(周二),1.4-1.8,4500,16.01%,1.4,22-29,不建议,-,奥邦建筑,7.93,1.75,36.43%,-0.71%,-,红日资本
2718,东正金融,主板,03-25(周一),03-27(周三),04-03(周三),3.06,3060,100.00%,3.06,12,不建议,1353.00%,易鑫集团,0.11,16.3,-1.30%,-9.48%,-,中金公司/瑞信
6185,康诺希生物-B,主板,03-18(周一),03-21(周四),03-28(周四),21-22,4400,100.00%,22,-,不建议,19.00%,君实生物-B,90.83,12.6,33.64%,57.73%,-,摩根士坦利/中信里昂
6819,中智全球,主板,03-18(周一),03-21(周四),03-27(周三),5.32-7.19,3595,100.00%,5.35,39-53,不建议,256.00%,盈健医疗,0.59,4.3,-4.67%,-2.62%,-,中信里昂
1797,新东方在线,主板,03-15(周五),03-20(周三),03-28(周四),9.3-11.1,5550,100.00%,10.2,88-105,不建议,150.00%,科培教育,9.18,16,2.35%,0.00%,-,花旗/摩根士坦利/中金
8537,DOMINATE GP,创业板,03-15(周五),03-20(周三),03-27(周三),0.3-0.34,3400,14.00%,0.3,50-56,建议申购,-,周大福,103.74,0.56,61.67%,35.00%,-,南华金融
1865,管道工程,主板,03-14(周四),03-19(周二),03-27(周三),0.55-0.65,2600,50.00%,0.55,19.6-23,建议申购,-,广骏集团,25.97,1.265,5.45%,20.00%,-,富强金融
2682,润利海事,主板,03-04(周一),03-11(周一),03-18(周一),0.5-0.6,2400,100.00%,0.5,15.4-18.5,不建议,-,海丰国际,0.78,1.25,-26.00%,-44.00%,-,大有融资
3316,滨江服务,主板,02-28(周四),03-08(周五),03-15(周五),5.4-7,3500,100.00%,6.96,21-27,不建议,150.00%,新城悦,7.14,4.65,-1.01%,5.17%,-,中信里昂
3662,奥园健康,主板,02-28(周四),03-05(周二),03-18(周一),3.48-4.3,4300,100.00%,3.66,29.7-36.75,不建议,150.00%,新城悦,6.24,6.4,13.38%,21.58%,-,国泰君安/中泰国际
1563,友联租赁,主板,02-28(周四),03-05(周二),03-15(周五),0.84-1.67,5010,100.00%,0.85,29-58,不建议,-,百应租赁,1.13,4.17,5.88%,-2.35%,-,信达国际
1907,中国旭阳,主板,02-28(周四),03-05(周二),03-15(周五),2.76-3.18,3180,100.00%,2.8,12.3-14,建议申购,150.00%,金马能源,1.19,16.8,0.36%,0.00%,-,国泰君安
1917,豆盟科技,主板,02-28(周四),03-05(周二),03-14(周四),0.4-0.5,5000,20.00%,0.41,22-28,建议申购,-,微盟集团,441.7,0.8,34.15%,53.66%,-,中信建投
1891,兴合控股,主板,02-27(周三),03-04(周一),03-15(周五),0.5-0.62,2480,50.00%,0.5,11月14日,建议申购,-,齐合天地,206.56,1.25,-7.00%,-26.00%,-,申万宏源
8096,赏之味,创业板,02-27(周三),03-04(周一),03-15(周五),0.4-0.7,3500,50.00%,0.7,15-27,建议申购,-,尝高美,146.2,0.875,-5.71%,-32.14%,-,富比投资
1158,开元酒店,主板,02-26(周二),03-01(周五),03-11(周一),13.37-20.05,4010,100.00%,16.5,7-10.5,不建议,-,丽悦酒店,1.45,11,-0.12%,2.30%,-,银河国际/交银国际
1902,银城国际控股,主板,02-22(周五),02-27(周三),03-06(周三),2-2.48,4960,100.00%,2.38,5.8-7,不建议,366.00%,建业地产,0.41,7.4,-0.84%,0.00%,-,工银国际
2108,K2 F&B,主板,02-21(周四),02-26(周二),03-06(周三),0.65-0.75,3000,45.00%,0.75,16-18,尚可申购,-,尝高美,16.4,1.5,6.67%,-10.67%,-,香江金融
1025,嘉艺控股,主板,02-15(周五),02-20(周三),02-28(周四),0.98-1.26,5040,48.56%,0.98,21-27,不建议,-,卡宾服饰,19.3,1.27,-1.02%,8.16%,-,创升融资
2019,德信中国,主板,02-14(周四),02-19(周二),02-26(周二),2.32-3.25,3250,100.00%,2.8,7月10日,不建议,472.00%,龙光地产,0.32,14,-1.79%,0.00%,-,建银国际
2616,基石药业-B,主板,02-14(周四),02-19(周二),02-26(周二),11.1-12.8,6400,100.00%,12,-,尚可申购,150.00%,君实生物-B,7.2,22,8.33%,7.17%,-,高盛/摩根士坦利
1872,冠轈控股,主板,02-13(周三),02-18(周一),02-28(周四),0.43-0.47,2350,50.01%,0.43,9月10日,不建议,-,广汇宝信,72.47,0.96,18.60%,46.51%,-,天泰金融
8607,纳尼亚集团,创业板,02-13(周三),02-18(周一),02-26(周二),0.4-0.8,4000,15.00%,0.4,20-40,不建议,-,中国福纺,10.3,0.8,18.75%,10.00%,-,信达国际
1703,首沣控股,主板,01-31(周四),02-08(周五),02-15(周五),0.5-0.75,3750,50.15%,0.5,9.4-14,不建议,-,尝高美,17.68,1.5,4.00%,22.00%,-,申万宏源
1793,伟工控股,主板,01-30(周三),02-15(周五),02-27(周三),0.625-0.75,3000,15.01%,0.625,12-14.5,不建议,-,耀高控股,16.23,1.25,-7.20%,4.00%,-,鼎珮
8036,电子交易集团,创业板,01-30(周三),02-08(周五),02-19(周二),0.28-0.44,4400,30.00%,0.28,28-44,不建议,-,捷利交易宝,120.99,0.64,32.00%,0.00%,-,RHB
1896,猫眼娱乐,主板,01-23(周三),01-28(周一),02-04(周一),14.8-20.4,4080,100.00%,14.8,-,不建议,150.00%,阿里影业,2.32,19.5,1.62%,-1.08%,-,摩根士坦利/美林
1890,中国科培,主板,01-15(周二),01-18(周五),01-25(周五),2.08-2.7,5400,100.00%,2.48,16-20,不建议,2.60%,新高教集团,1.64,8.7,0.40%,1.21%,-,花旗/建银国际
2013,微盟集团,主板,12-31(周一),01-08(周二),01-15(周二),2.8-3.5,3500,100.00%,2.8,1867-2333,不建议,189.00%,汇量科技,0.79,8.4,14.29%,4.64%,-,德银/海通国际
6162,天瑞汽车内饰,主板,12-31(周一),01-04(周五),01-15(周二),0.25-0.31,2480,25.00%,0.25,12.5-15.5,不建议,-,英恒科技,7.15,1.25,2.00%,-0.80%,-,创升融资
1767,TS WONDERS,主板,12-31(周一),01-04(周五),01-14(周一),0.5-0.55,5500,15.00%,0.5,14.7-16.2,不建议,-,亲亲食品,16.88,1.25,22.00%,26.00%,-,域高融资
2885,彼岸控股,主板,12-31(周一),01-04(周五),01-11(周五),1.25-1.55,3100,50.05%,1.25,14-17,不建议,-,槟杰科达,6.13,1.25,1.60%,-25.60%,-,国泰君安
1785,成都高速,主板,12-28(周五),01-07(周一),01-15(周二),2.2,2200,100.00%,2.2,9.2,不建议,744.00%,齐鲁高速,0.2,8.8,-0.90%,-0.91%,-,中信里昂
2360,优品360,主板,12-28(周五),01-04(周五),01-11(周五),1-1.2,2400,30.00%,1,18.5-22,尚可申购,-,天喔国际,10.92,2.5,28.00%,17.00%,-,力高企业
1851,银杏教育,主板,12-21(周五),01-11(周五),01-18(周五),1.24-1.98,3960,50.00%,1.44,13-21,不建议,-,中教控股,2.62,1.7,0.00%,-6.25%,-,中信建投
8631,申港控股,创业板,12-21(周五),12-28(周五),01-08(周二),0.5-0.7,7000,18.00%,0.6,14-19,尚可申购,-,域高国际,43.4,0.6,0.00%,-17.50%,-,新华汇富
1743,苍南仪表,主板,12-19(周三),12-27(周四),01-04(周五),13.5-18.9,3780,70.01%,15.8,3.4-4.8,不建议,102.00%,中集安瑞科,3.32,2.6,-1.01%,0.00%,-,农银国际
1845,维港环保,主板,12-19(周三),12-24(周一),01-03(周四),0.88-1,3000,70.01%,0.88,33-38,不建议,-,绿色动力环保,2.35,2.75,1.13%,2.27%,-,中银国际
1759,中油洁能,主板,12-14(周五),12-19(周三),12-28(周五),2.8-3.4,3400,30.05%,2.8,6.5-8,不建议,-,域高国际,7.4,1.5,1.07%,1.43%,-,创升融资
1796,耀高控股,主板,12-13(周四),12-18(周二),12-31(周一),1.05-1.25,2500,50.00%,1.05,13-15.6,不建议,-,DCB控股,12.99,1.26,-18.10%,-6.67%,-,均富融资
1713,四川能投,主板,12-13(周四),12-18(周二),12-28(周五),1.76-2.34,4680,100.00%,1.77,13-18,不建议,-,华能电力,0.49,4.72,0.00%,0.00%,-,交银国际
3978,卓越教育,主板,12-12(周三),12-17(周一),12-27(周四),2.2-2.9,2900,100.00%,2.4,22-29,不建议,100.00%,天立教育,1.8,3.6,0.00%,0.00%,-,招银国际
1877,君实生物-B,主板,12-11(周二),12-14(周五),12-24(周一),19.38-20.38,20380,100.00%,19.38,-,不建议,-,百济神州-B,4.79,30,19.20%,22.55%,-,中金公司
1762,万咖壹联,主板,12-11(周二),12-14(周五),12-21(周五),3.56-4.62,4620,60.00%,3.56,-,不建议,-,汇量科技,3.26,2.7,6.46%,-15.73%,-,中金公司/工银国际/麦格理
1820,济丰包装,主板,12-10(周一),12-13(周四),12-21(周五),3.98-4.76,4760,40.02%,3.98,12-14.6,不建议,-,太阳纸业,4.03,2.99,1.76%,0.00%,-,浦银国际
2892,万城控股,主板,12-10(周一),12-13(周四),12-20(周四),1.07-1.33,2660,100.00%,1.2,18-22,不建议,-,建业地产,0.83,2.3,4.17%,5.00%,-,光大证券
1675,亚信科技,主板,12-06(周四),12-11(周二),12-19(周三),10.5-13.5,5400,100.00%,10.5,20.7-26,不建议,643.00%,擎天软件,0.23,8.99,-1.14%,-4.57%,-,中信里昂/花旗
1983,泸州银行,主板,12-04(周二),12-10(周一),12-17(周一),3.15-3.4,3400,100.00%,3.18,9.8-10.65,不建议,494.00%,重庆银行,0.3,17,0.31%,2.20%,-,中信里昂
1995,永升生活服务,主板,12-04(周二),12-07(周五),12-17(周一),1.6-2.08,4160,100.00%,1.78,28-36,不建议,150.00%,新城悦,1.21,6.4,-1.69%,0.00%,-,海通国际
2359,药明康德,主板,12-03(周一),12-06(周四),12-13(周四),64.1-71.5,7150,100.00%,68,51-57,不建议,150.00%,复星医药,1.92,78,-6.18%,0.00%,41.18%,摩根士坦利/华泰金控/高盛
1992,复星旅游文化,主板,11-30(周五),12-06(周四),12-14(周五),15.6-20,4000,100.00%,15.6,-,不建议,496.00%,东瀛游,0.3,33,0.00%,-3.97%,-,jp摩根/中信里昂/花旗
8622,华康生物医学,创业板,11-30(周五),12-05(周三),12-13(周四),0.44-0.64,5120,15.00%,0.5,-,尚可申购,-,迪安诊断,131.52,0.5,2.00%,-6.00%,-,RHB
1860,汇量科技,主板,11-30(周五),12-05(周三),12-12(周三),3.9-5.1,5100,100.00%,4,21.4-28,尚可申购,150.00%,飞鱼科技,1.83,12.5,-7.00%,-0.25%,-,瑞银/招银国际
8621,METROPOLIS CAP,创业板,11-30(周五),12-05(周三),12-12(周三),0.39-0.5,4000,38.00%,0.39,55-71,不建议,-,易鑫集团,37.07,0.78,66.67%,41.03%,-,八方金融
1837,五谷磨房,主板,11-29(周四),12-04(周二),12-12(周三),1.62-2.1,4200,100.00%,1.62,17-22,尚可申购,150.00%,达利食品,1.44,6.82,-4.94%,-12.35%,-,中金公司/民银资本
3992,创毅控股,主板,11-29(周四),12-04(周二),12-11(周二),1-1.1,2200,30.00%,1,13.7-15,尚可申购,-,雅居投资,59.44,1.25,-19.00%,-16.00%,-,第一上海
