code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
1757,俊裕地基,主板,05-23(周三),05-28(周一),06-07(周四),0.3-0.34,3400,30.00%,0.34,14-16,不建议,-,永勤集团,453.84,1.02,7.35%,5.88%,-,德健融资
1451,万成集团,主板,05-21(周一),05-25(周五),06-01(周五),1.2-1.36,2720,40.01%,1.37,14-15,不建议,-,彩星玩具,614.03,0.67,38.06%,2.99%,-,第一上海
6119,天源集团,主板,05-18(周五),05-24(周四),06-01(周五),0.84-1,3000,70.01%,0.85,21-25,不建议,-,大连港,16.88,1.27,-9.41%,-11.76%,-,RaffAello
8545,佰悦集团,创业板,05-18(周五),05-24(周四),05-31(周四),0.25-0.35,2800,9.00%,0.35,22-31,不建议,-,彩星玩具,42.85,0.875,5.71%,14.29%,-,Amcap
8490,骏码科技,创业板,05-17(周四),05-23(周三),05-30(周三),0.42-0.58,2900,40.00%,0.58,22.5-31,尚可申购,30.00%,高萌科技,117.51,0.98,15.52%,3.45%,-,南华金融
1978,叙福楼,主板,05-15(周二),05-18(周五),05-30(周三),1-1.3,2600,55.00%,1.1,33-43,不建议,-,尝高美,979.1,2.2,100.00%,40.00%,-,光大证券
1598,21世纪教育,主板,05-15(周二),05-18(周五),05-29(周二),0.79-1.13,3390,60.00%,1.13,16.8-24,不建议,20.00%,民生教育,108.6,4.07,20.35%,51.34%,-,中信建投
8536,TL NATURAL,创业板,05-08(周二),05-11(周五),05-18(周五),0.4-0.48,4800,40.01%,0.48,-,不建议,-,新海能源,276.03,0.6,16.70%,2.08%,-,智富
8105,皇岦,创业板,04-30(周一),05-04(周五),05-16(周三),0.4-0.5,2500,100.00%,0.4,14.49-18.12,不建议,-,枫叶教育,35.38,0.8,14.00%,21.25%,-,光大证券
8521,智纺国际,创业板,04-30(周一),05-04(周五),05-16(周三),0.5-0.6,3000,100.00%,0.58,11.9-14.3,不建议,-,新达控股,21.26,0.7,8.60%,12.07%,-,耀盛资本
2119,捷荣国际,主板,04-30(周一),05-04(周五),05-11(周五),1.5-2.19,4380,15.00%,1.98,14.2-20.7,尚可申购,30.00%,英记茶庄,162.94,4.74,8.59%,19.70%,-,中银国际
8391,精雅印刷,创业板,04-30(周一),05-04(周五),05-11(周五),0.6,2400,100.00%,0.6,139,不建议,-,万里印刷,7.94,0.66,16.67%,5.00%,-,建泉融资
1742,HPC,主板,04-27(周五),05-03(周四),05-11(周五),0.4-0.48,2400,100.00%,0.45,3.96-4.75,不建议,-,德益控股,53.2,1.75,-5.56%,-10.00%,-,交银国际
1750,全达电器,主板,04-27(周五),05-03(周四),05-11(周五),0.3-0.38,3800,100.00%,0.3,34-44,不建议,-,泰坦能源,23.4,1.35,1.67%,3.33%,-,Amcap
1752,澳洲成峰,主板,04-27(周五),05-03(周四),05-11(周五),0.27-0.37,3700,100.00%,0.33,24.77-33.95,不建议,40.00%,新华教育,16.94,2.08,3.03%,19.70%,-,银河国际
1833,平安好医生,主板,04-23(周一),04-26(周四),05-04(周五),50.8-54.8,5480,60.00%,54.8,-,强烈建议,60.00%,希玛眼科,654,88,13.00%,0.00%,-,花旗/JP摩根
8107,威诚国际,创业板,04-23(周一),04-26(周四),05-04(周五),0.2-0.24,2400,80.00%,0.225,8.9-10.68,不建议,-,爱世纪,32.2,0.55,2.00%,77.78%,-,智富
8527,聚利宝,创业板,04-20(周五),04-25(周三),05-09(周三),0.5-0.6,3000,70.00%,0.5,-,不建议,-,尝高美,10.8,0.625,44.00%,100.00%,-,大有融资
1671,天保能源,主板,04-16(周一),04-19(周四),04-27(周五),1.74-1.9,3800,20.01%,1.9,7.13-7.79,不建议,30.00%,大唐发电,1593.15,0.73,9.47%,-5.79%,-,东方融资
8151,宝申控股,创业板,04-09(周一),04-12(周四),04-23(周一),0.48-0.52,2600,60.01%,0.48,39-42,不建议,-,汇银家电,321.64,0.5,-4.17%,6.25%,-,信达国际
8511,ZC TECH,创业板,03-29(周四),04-10(周二),04-20(周五),0.55-0.85,3400,50.00%,0.65,12.7-19.7,不建议,-,天宝集团,70.07,0.65,-3.08%,-23.85%,-,RaffAello
8447,MS CONCEPT,创业板,03-29(周四),04-06(周五),04-16(周一),0.23-0.27,2700,60.36%,0.27,20-24,不建议,-,尝高美,26.88,0.675,3.70%,1.85%,-,同人融资
8507,爱世纪,创业板,03-29(周四),04-06(周五),04-16(周一),0.5-0.6,2400,100.00%,0.58,13.77-16.5,不建议,-,晶苑国际,19.9,0.7,0.00%,-15.52%,-,大有融资
1726,HKE,主板,03-28(周三),04-04(周三),04-18(周三),0.45-0.55,2750,20.00%,0.55,11.4-14,不建议,-,创业集团,789,1.1,27.00%,1.82%,-,德健融资
8451,日光控股,创业板,03-27(周二),04-03(周二),04-16(周一),0.25-0.3,3000,61.80%,0.275,45-55,不建议,-,长港敦信,84.66,0.55,20.00%,3.64%,-,智富融资
8241,英记茶庄,创业板,03-23(周五),03-28(周三),04-16(周一),0.48-0.54,2700,10.01%,0.54,14-16,不建议,-,宾仕国际,677,0.48,90.70%,33.33%,-,凯基金融
